馬名,全体過去平均着順,前走着順,出走回数,前走脚質_num,前走上がり3F,過去平均上がり3F
アアル,8.0,8.0,1,4.0,35.0,35.0
アイアゲート,8.0,8.0,1,4.0,35.0,35.0
アイアムアッパレ,10.571428571428571,6.0,8,4.0,35.0,30.0
アイアムアヒーロー,6.333333333333333,1.0,4,4.0,35.0,23.333333333333332
アイアムイチバン,6.0,3.0,8,4.0,35.0,25.0
アイアムイチリュウ,5.428571428571429,5.0,8,4.0,0.0,0.0
アイアムイブシギン,12.666666666666666,14.0,4,4.0,0.0,0.0
アイアムコロンブス,7.0,7.0,2,4.0,0.0,0.0
アイアムジャイアン,1.0,1.0,2,4.0,35.0,35.0
アイアムスゴスギル,8.0,8.0,1,4.0,35.0,35.0
アイアムステキ,3.0,1.0,3,4.0,35.0,17.5
アイアムハヤスギル,12.0,12.0,2,4.0,0.0,0.0
アイアムユウシュン,6.166666666666667,6.0,13,4.0,35.0,11.666666666666666
アイアムルンルン,9.666666666666666,11.0,4,4.0,0.0,0.0
アイアンウォール,8.6,5.0,6,4.0,0.0,0.0
アイアンオバーカム,6.818181818181818,5.0,12,4.0,35.0,9.545454545454545
アイアンクラッド,4.5,1.0,3,4.0,35.0,35.0
アイアンソリッド,4.857142857142857,8.0,15,4.0,35.0,12.5
アイアンナックル,4.75,7.0,5,4.0,35.0,17.5
アイアンバローズ,8.0,8.0,1,4.0,35.0,35.0
アイアンパイク,3.75,3.0,5,4.0,35.0,35.0
アイアンパシュート,11.333333333333334,14.0,4,4.0,0.0,0.0
アイアンブランド,12.0,13.0,4,4.0,35.0,23.333333333333332
アイアンロッキー,14.0,14.0,2,4.0,35.0,35.0
アイアンロマン,13.0,13.0,3,4.0,0.0,0.0
アイウィル,5.578947368421052,8.0,20,4.0,35.0,9.210526315789474
アイウィルビー,12.0,16.0,5,4.0,0.0,0.0
アイオブザストーム,11.6,13.0,11,4.0,35.0,3.5
アイオライト,9.0,7.0,3,4.0,0.0,0.0
アイオリア,3.7142857142857144,1.0,8,4.0,35.0,10.0
アイオロステソーロ,11.666666666666666,14.0,4,4.0,0.0,0.0
アイカチャン,13.5,13.0,5,4.0,35.0,17.5
アイカムインピース,6.5,5.0,3,4.0,0.0,0.0
アイカンアズーラ,4.8,11.0,6,4.0,35.0,35.0
アイガー,7.0,7.0,2,4.0,35.0,35.0
アイガーリー,5.25,11.0,5,4.0,35.0,35.0
アイキャンドウイッ,6.375,7.0,9,4.0,35.0,13.125
アイク,8.4,9.0,6,4.0,35.0,35.0
アイクルムズ,8.0,8.0,1,4.0,35.0,35.0
アイコンテーラー,8.0,8.0,1,4.0,35.0,35.0
アイサイト,8.333333333333334,10.0,4,4.0,35.0,11.666666666666666
アイサンサン,5.545454545454546,1.0,12,4.0,35.0,22.272727272727273
アイサーベル,8.0,8.0,1,4.0,35.0,35.0
アイザックバローズ,6.1,5.0,11,4.0,35.0,7.0
